,t,c,producto,CantidadPedir
437,3,9,3,0
438,3,9,4,2
439,3,9,5,6
440,3,9,6,0
441,3,9,7,0
442,3,9,8,4
443,3,9,9,1
444,3,9,10,0
445,3,9,11,0
446,3,9,12,0
447,3,9,13,0
448,3,9,14,0
449,3,9,15,12
450,4,0,1,10
451,4,0,2,0
452,4,0,3,0
453,4,0,4,0
454,4,0,5,10
455,4,0,6,0
456,4,0,7,6
457,4,0,8,5
458,4,0,9,1
459,4,0,10,0
460,4,0,11,0
461,4,0,12,0
462,4,0,13,0
463,4,0,14,0
464,4,0,15,0
465,4,1,1,0
466,4,1,2,0
467,4,1,3,0
468,4,1,4,0
469,4,1,5,0
470,4,1,6,0
471,4,1,7,0
472,4,1,8,0
473,4,1,9,0
474,4,1,10,0
475,4,1,11,0
476,4,1,12,0
477,4,1,13,0
478,4,1,14,0
479,4,1,15,0
480,4,2,1,0
481,4,2,2,0
482,4,2,3,0
483,4,2,4,0
484,4,2,5,0
485,4,2,6,0
486,4,2,7,0
487,4,2,8,0
488,4,2,9,0
489,4,2,10,0
490,4,2,11,0
491,4,2,12,0
492,4,2,13,0
493,4,2,14,0
494,4,2,15,0
495,4,3,1,0
496,4,3,2,0
497,4,3,3,0
498,4,3,4,0
499,4,3,5,0
500,4,3,6,0
501,4,3,7,0
502,4,3,8,0
503,4,3,9,0
504,4,3,10,0
505,4,3,11,0
506,4,3,12,0
507,4,3,13,0
508,4,3,14,0
509,4,3,15,0
510,4,4,1,0
511,4,4,2,0
512,4,4,3,0
513,4,4,4,0
514,4,4,5,0
515,4,4,6,0
516,4,4,7,0
517,4,4,8,0
518,4,4,9,0
519,4,4,10,0
520,4,4,11,0
521,4,4,12,0
522,4,4,13,0
523,4,4,14,0
524,4,4,15,0
525,4,5,1,0
526,4,5,2,0
527,4,5,3,0
528,4,5,4,0
529,4,5,5,0
530,4,5,6,0
531,4,5,7,0
532,4,5,8,0
533,4,5,9,0
534,4,5,10,0
535,4,5,11,0
536,4,5,12,0
537,4,5,13,0
538,4,5,14,0
539,4,5,15,0
540,4,6,1,0
541,4,6,2,0
542,4,6,3,0
543,4,6,4,0
544,4,6,5,0
545,4,6,6,0
546,4,6,7,0
547,4,6,8,0
548,4,6,9,0
549,4,6,10,0
550,4,6,11,0
551,4,6,12,0
552,4,6,13,0
553,4,6,14,0
554,4,6,15,0
555,4,7,1,0
556,4,7,2,0
557,4,7,3,0
558,4,7,4,0
559,4,7,5,0
560,4,7,6,0
561,4,7,7,0
562,4,7,8,0
563,4,7,9,0
564,4,7,10,0
565,4,7,11,0
566,4,7,12,0
567,4,7,13,0
568,4,7,14,0
569,4,7,15,0
570,4,8,1,0
571,4,8,2,0
572,4,8,3,0
573,4,8,4,0
574,4,8,5,0
575,4,8,6,0
576,4,8,7,0
577,4,8,8,0
578,4,8,9,0
579,4,8,10,0
580,4,8,11,0
581,4,8,12,0
582,4,8,13,0
583,4,8,14,0
584,4,8,15,0
585,4,9,1,0
586,4,9,2,0
587,4,9,3,0
588,4,9,4,0
589,4,9,5,0
590,4,9,6,0
591,4,9,7,0
592,4,9,8,0
593,4,9,9,0
594,4,9,10,0
595,4,9,11,0
596,4,9,12,0
597,4,9,13,0
598,4,9,14,0
599,4,9,15,0
600,5,0,1,0
601,5,0,2,0
602,5,0,3,20
603,5,0,4,0
604,5,0,5,0
605,5,0,6,0
606,5,0,7,0
607,5,0,8,0
608,5,0,9,0
609,5,0,10,0
610,5,0,11,4
611,5,0,12,0
612,5,0,13,0
613,5,0,14,0
614,5,0,15,12
615,5,1,1,0
616,5,1,2,0
617,5,1,3,0
618,5,1,4,0
619,5,1,5,0
620,5,1,6,0
621,5,1,7,0
622,5,1,8,0
623,5,1,9,0
624,5,1,10,0
625,5,1,11,0
626,5,1,12,0
627,5,1,13,0
628,5,1,14,0
629,5,1,15,0
630,5,2,1,0
631,5,2,2,0
632,5,2,3,0
633,5,2,4,0
634,5,2,5,0
635,5,2,6,0
636,5,2,7,0
637,5,2,8,0
638,5,2,9,0
639,5,2,10,0
640,5,2,11,0
641,5,2,12,0
642,5,2,13,0
