,k,t,i,b,x,y,z,r,Volume
212,0,2,6,b,11600,0,1000,0,1200000000
213,0,2,1,b,11600,0,2000,0,1200000000
214,0,2,2,b,12600,0,0,0,1200000000
215,0,2,6,b,12600,0,1000,0,1200000000
216,0,2,1,b,12600,0,2000,0,1200000000
217,0,2,5,a,11800,1200,0,0,1440000000
218,0,2,3,a,11800,1200,750,0,1440000000
219,0,2,3,a,11800,1200,1500,0,1440000000
220,0,2,3,a,11800,1200,2250,0,1440000000
221,1,2,3,a,0,0,0,0,1440000000
222,1,2,3,a,0,0,750,0,1440000000
223,1,2,3,a,0,0,1500,0,1440000000
224,1,2,3,a,0,0,2250,0,1440000000
225,1,2,7,c,0,1200,0,1,1440000000
226,1,2,4,c,0,1200,1000,1,1440000000
227,1,2,7,c,0,1200,2000,1,1440000000
228,1,2,2,b,1600,0,0,0,1200000000
229,1,2,1,b,1600,0,1000,0,1200000000
230,1,2,2,b,1600,0,2000,0,1200000000
231,1,2,1,b,1800,1200,0,0,1200000000
232,1,2,2,b,1800,1200,1000,0,1200000000
233,1,2,1,b,1800,1200,2000,0,1200000000
234,1,2,2,b,2600,0,0,0,1200000000
235,1,2,1,b,2600,0,1000,0,1200000000
236,1,2,2,b,2600,0,2000,0,1200000000
237,1,2,1,b,2800,1200,0,0,1200000000
238,1,2,2,b,2800,1200,1000,0,1200000000
239,1,2,1,b,2800,1200,2000,0,1200000000
240,1,2,4,c,3600,0,0,1,1440000000
241,1,2,7,c,3600,0,1000,1,1440000000
242,1,2,4,c,3600,0,2000,1,1440000000
243,1,2,7,c,3800,800,0,1,1440000000
244,1,2,4,c,3800,800,1000,1,1440000000
245,1,2,7,c,3800,800,2000,1,1440000000
246,1,2,4,c,5400,0,0,1,1440000000
247,1,2,4,c,5400,0,1000,1,1440000000
248,1,2,4,c,5400,0,2000,1,1440000000
249,1,2,4,c,3800,1600,0,1,1440000000
250,1,2,4,c,3800,1600,1000,1,1440000000
251,1,2,4,c,3800,1600,2000,1,1440000000
252,1,2,4,c,5600,800,0,1,1440000000
253,1,2,4,c,5600,800,1000,1,1440000000
254,1,2,4,c,5600,800,2000,1,1440000000
255,1,2,2,b,7400,0,0,0,1200000000
256,1,2,1,b,7400,0,1000,0,1200000000
257,1,2,2,b,7400,0,2000,0,1200000000
258,1,2,4,c,5600,1600,0,1,1440000000
259,1,2,4,c,5600,1600,1000,1,1440000000
260,1,2,4,c,5600,1600,2000,1,1440000000
261,1,2,1,b,7400,1200,0,0,1200000000
262,1,2,2,b,7400,1200,1000,0,1200000000
263,1,2,1,b,7400,1200,2000,0,1200000000
264,1,2,2,b,8400,0,0,0,1200000000
265,1,2,1,b,8400,0,1000,0,1200000000
266,1,2,2,b,8400,0,2000,0,1200000000
267,1,2,3,a,8400,1200,0,0,1440000000
268,1,2,3,a,8400,1200,750,0,1440000000
269,1,2,3,a,8400,1200,1500,0,1440000000
270,1,2,3,a,8400,1200,2250,0,1440000000
271,1,2,1,b,9400,0,0,0,1200000000
272,1,2,2,b,9400,0,1000,0,1200000000
