,t,c,producto,CantidadPedir
543,5,1,11,6
544,5,1,12,7
545,5,1,13,6
546,5,2,1,0
547,5,2,2,0
548,5,2,3,0
549,5,2,4,0
550,5,2,5,0
551,5,2,6,0
552,5,2,7,0
553,5,2,8,0
554,5,2,9,0
555,5,2,10,0
556,5,2,11,0
557,5,2,12,0
558,5,2,13,0
559,5,3,1,0
560,5,3,2,0
561,5,3,3,0
562,5,3,4,0
563,5,3,5,0
564,5,3,6,0
565,5,3,7,0
566,5,3,8,0
567,5,3,9,0
568,5,3,10,0
569,5,3,11,0
570,5,3,12,0
571,5,3,13,0
572,5,4,1,0
573,5,4,2,6
574,5,4,3,7
575,5,4,4,7
576,5,4,5,6
577,5,4,6,0
578,5,4,7,5
579,5,4,8,5
580,5,4,9,3
581,5,4,10,0
582,5,4,11,0
583,5,4,12,0
584,5,4,13,0
585,5,5,1,0
586,5,5,2,0
587,5,5,3,0
588,5,5,4,0
589,5,5,5,0
590,5,5,6,0
591,5,5,7,0
592,5,5,8,0
593,5,5,9,0
594,5,5,10,0
595,5,5,11,0
596,5,5,12,0
597,5,5,13,0
598,5,6,1,0
599,5,6,2,0
600,5,6,3,0
601,5,6,4,0
602,5,6,5,0
603,5,6,6,0
604,5,6,7,0
605,5,6,8,0
606,5,6,9,0
607,5,6,10,0
608,5,6,11,0
609,5,6,12,0
610,5,6,13,0
611,5,7,1,8
612,5,7,2,0
613,5,7,3,0
614,5,7,4,3
615,5,7,5,0
616,5,7,6,20
617,5,7,7,0
618,5,7,8,1
619,5,7,9,6
620,5,7,10,0
621,5,7,11,0
622,5,7,12,0
623,5,7,13,0
624,5,8,1,0
625,5,8,2,0
626,5,8,3,0
627,5,8,4,0
628,5,8,5,0
629,5,8,6,0
630,5,8,7,0
631,5,8,8,0
632,5,8,9,0
633,5,8,10,0
634,5,8,11,0
635,5,8,12,0
636,5,8,13,0
637,5,9,1,0
638,5,9,2,0
639,5,9,3,0
640,5,9,4,0
641,5,9,5,0
642,5,9,6,0
643,5,9,7,0
644,5,9,8,0
645,5,9,9,0
646,5,9,10,0
647,5,9,11,0
648,5,9,12,0
649,5,9,13,0
650,6,0,1,0
651,6,0,2,0
652,6,0,3,0
653,6,0,4,0
654,6,0,5,0
655,6,0,6,0
656,6,0,7,0
657,6,0,8,0
658,6,0,9,0
659,6,0,10,0
660,6,0,11,0
661,6,0,12,0
662,6,0,13,0
663,6,1,1,0
664,6,1,2,0
665,6,1,3,0
666,6,1,4,0
667,6,1,5,0
668,6,1,6,0
669,6,1,7,0
670,6,1,8,0
671,6,1,9,0
672,6,1,10,0
673,6,1,11,0
674,6,1,12,0
675,6,1,13,0
676,6,2,1,0
677,6,2,2,8
678,6,2,3,0
679,6,2,4,2
680,6,2,5,0
681,6,2,6,0
682,6,2,7,2
683,6,2,8,7
684,6,2,9,7
685,6,2,10,0
686,6,2,11,0
687,6,2,12,10
688,6,2,13,3
689,6,3,1,8
690,6,3,2,0
691,6,3,3,6
692,6,3,4,0
693,6,3,5,6
694,6,3,6,0
695,6,3,7,8
696,6,3,8,0
697,6,3,9,0
698,6,3,10,0
699,6,3,11,6
700,6,3,12,0
701,6,3,13,4
702,6,4,1,0
703,6,4,2,0
704,6,4,3,0
705,6,4,4,0
706,6,4,5,0
707,6,4,6,0
708,6,4,7,0
709,6,4,8,0
710,6,4,9,0
711,6,4,10,0
712,6,4,11,0
713,6,4,12,0
714,6,4,13,0
715,6,5,1,0
716,6,5,2,0
717,6,5,3,0
718,6,5,4,0
719,6,5,5,0
720,6,5,6,0
721,6,5,7,0
722,6,5,8,0
723,6,5,9,0
724,6,5,10,0
725,6,5,11,0
726,6,5,12,0
727,6,5,13,0
728,6,6,1,0
729,6,6,2,0
730,6,6,3,0
731,6,6,4,0
732,6,6,5,0
733,6,6,6,0
734,6,6,7,0
735,6,6,8,0
736,6,6,9,0
737,6,6,10,0
738,6,6,11,0
739,6,6,12,0
740,6,6,13,0
741,6,7,1,0
742,6,7,2,0
743,6,7,3,0
744,6,7,4,0
745,6,7,5,0
746,6,7,6,0
747,6,7,7,0
748,6,7,8,0
749,6,7,9,0
750,6,7,10,0
751,6,7,11,0
752,6,7,12,0
753,6,7,13,0
754,6,8,1,0
755,6,8,2,0
756,6,8,3,0
757,6,8,4,0
