,k,t,i,b,x,y,z,r,Volume
254,0,2,6,b,6800,1200,1000,0,1200000000
255,0,2,6,b,6800,1200,2000,0,1200000000
256,0,2,1,b,7800,0,0,0,1200000000
257,0,2,2,b,7800,0,1000,0,1200000000
258,0,2,6,b,7800,0,2000,0,1200000000
259,0,2,6,b,7800,1200,0,0,1200000000
260,0,2,1,b,7800,1200,1000,0,1200000000
261,0,2,6,b,7800,1200,2000,0,1200000000
262,0,2,2,b,8800,0,0,0,1200000000
263,0,2,1,b,8800,0,1000,0,1200000000
264,0,2,2,b,8800,0,2000,0,1200000000
265,0,2,5,a,8800,1200,0,0,1440000000
266,0,2,3,a,8800,1200,750,0,1440000000
267,0,2,5,a,8800,1200,1500,0,1440000000
268,0,2,3,a,8800,1200,2250,0,1440000000
269,0,2,1,b,9800,0,0,0,1200000000
270,0,2,2,b,9800,0,1000,0,1200000000
271,0,2,1,b,9800,0,2000,0,1200000000
272,0,2,2,b,10400,1200,0,0,1200000000
273,0,2,1,b,10400,1200,1000,0,1200000000
274,0,2,2,b,10400,1200,2000,0,1200000000
275,0,2,1,b,10800,0,0,0,1200000000
276,0,2,2,b,10800,0,1000,0,1200000000
277,0,2,1,b,10800,0,2000,0,1200000000
278,0,2,2,b,11400,1200,0,0,1200000000
279,0,2,1,b,11400,1200,1000,0,1200000000
280,0,2,2,b,11400,1200,2000,0,1200000000
281,0,2,4,c,11800,0,0,1,1440000000
282,0,2,4,c,11800,0,1000,1,1440000000
283,0,2,7,c,11800,0,2000,1,1440000000
284,0,2,3,a,12400,800,0,1,1440000000
285,0,2,5,a,12400,800,750,1,1440000000
286,0,2,3,a,12400,800,1500,1,1440000000
287,0,2,3,a,12400,800,2250,1,1440000000
288,0,3,8,b,0,0,0,0,1200000000
289,0,3,2,b,0,0,1000,0,1200000000
290,0,3,6,b,0,0,2000,0,1200000000
291,0,3,1,b,0,1200,0,0,1200000000
292,0,3,6,b,0,1200,1000,0,1200000000
293,0,3,8,b,0,1200,2000,0,1200000000
294,0,3,6,b,1000,0,0,0,1200000000
295,0,3,2,b,1000,0,1000,0,1200000000
296,0,3,8,b,1000,0,2000,0,1200000000
297,0,3,1,b,1000,1200,0,0,1200000000
298,0,3,6,b,1000,1200,1000,0,1200000000
299,0,3,8,b,1000,1200,2000,0,1200000000
300,0,3,6,b,2000,0,0,0,1200000000
301,0,3,2,b,2000,0,1000,0,1200000000
302,0,3,6,b,2000,0,2000,0,1200000000
303,0,3,8,b,2000,1200,0,0,1200000000
304,0,3,1,b,2000,1200,1000,0,1200000000
305,0,3,6,b,2000,1200,2000,0,1200000000
306,0,3,5,a,3000,0,0,1,1440000000
307,0,3,9,a,3000,0,750,1,1440000000
308,0,3,3,a,3000,0,1500,1,1440000000
309,0,3,5,a,3000,0,2250,1,1440000000
310,0,3,9,a,4200,0,0,1,1440000000
311,0,3,3,a,4200,0,750,1,1440000000
312,0,3,5,a,4200,0,1500,1,1440000000
313,0,3,5,a,4200,0,2250,1,1440000000
314,0,3,3,a,5400,0,0,1,1440000000
315,0,3,5,a,5400,0,750,1,1440000000
316,0,3,3,a,5400,0,1500,1,1440000000
317,0,3,5,a,5400,0,2250,1,1440000000
